RID,ip_src,ip_dst,tcp_srcport,tcp.dstport,tcp_flags_push,tcp_flags_ack,tcp_ack,frame_time,packets,tx_packets,tx_bytes,rx_packets,rx_bytes,Label
172.217.7.227-10.42.0.211-80-43033-6,192.168.1.1,192.168.23.2,2425,8000,1,1,1, 16-Jun 2020 20:18:15.071340000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.151-69.147.82.61-52923-443-6,192.168.1.1,192.168.23.2,2426,8000,1,1,1, 16-Jun 2020 20:18:15.071363000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
172.217.12.170-10.42.0.151-443-54246-6,192.168.1.1,192.168.23.2,2427,8000,1,1,1, 16-Jun 2020 20:18:15.071409000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.211-104.193.88.109-33821-80-6,192.168.1.1,192.168.23.2,2428,8000,1,1,1, 16-Jun 2020 20:18:15.071423000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-58632-53-17,192.168.1.1,192.168.23.2,2429,8000,1,1,1, 16-Jun 2020 20:18:15.071437000 Mountain Daylight Time,10,5,270,5,270,Flooding attack
10.42.0.211-23.206.125.17-50438-80-6,192.168.1.1,192.168.23.2,2430,8000,1,1,1, 16-Jun 2020 20:18:15.071444000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.211-77.234.41.79-59340-443-6,192.168.1.1,192.168.23.2,2431,8000,1,1,1, 16-Jun 2020 20:18:15.071481000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
172.217.12.163-10.42.0.42-443-54058-6,192.168.1.1,192.168.23.2,2432,8000,1,1,1, 16-Jun 2020 20:18:15.071509000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-38685-53-17,192.168.1.1,192.168.23.2,2433,8000,1,1,1, 16-Jun 2020 20:18:15.071513000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
219.142.78.217-10.42.0.42-80-51835-6,192.168.1.1,192.168.23.2,2434,8000,1,1,1, 16-Jun 2020 20:18:15.071548000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
183.3.235.80-10.42.0.151-80-53055-6,192.168.1.1,192.168.23.2,2435,8000,1,1,1, 16-Jun 2020 20:18:15.071557000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.42-54.239.17.112-51125-443-6,192.168.1.1,192.168.23.2,2436,8000,1,1,1, 16-Jun 2020 20:18:15.071583000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
182.22.24.124-10.42.0.211-443-41787-6,192.168.1.1,192.168.23.2,2437,8000,1,1,1, 16-Jun 2020 20:18:15.071643000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.151-10.42.0.1-23554-53-17,192.168.1.1,192.168.23.2,2438,8000,1,1,1, 16-Jun 2020 20:18:15.071690000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.211-77.234.44.201-42898-80-6,192.168.1.1,192.168.23.2,2439,8000,1,1,1, 16-Jun 2020 20:18:15.071696000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
162.208.22.39-10.42.0.211-443-45089-6,192.168.1.1,192.168.23.2,2440,8000,1,1,1, 16-Jun 2020 20:18:15.071761000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
216.58.219.206-10.42.0.211-443-53223-6,192.168.1.1,192.168.23.2,2441,8000,1,1,1, 16-Jun 2020 20:18:15.071786000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-77.234.44.201-57603-80-6,192.168.1.1,192.168.23.2,2442,8000,1,1,1, 16-Jun 2020 20:18:15.072109000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
172.217.11.10-10.42.0.151-443-36800-6,192.168.1.1,192.168.23.2,2443,8000,1,1,1, 16-Jun 2020 20:18:15.072114000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
10.42.0.211-64.71.142.110-41483-443-6,192.168.1.1,192.168.23.2,2444,8000,1,1,1, 16-Jun 2020 20:18:15.073216000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-61314-53-17,192.168.1.1,192.168.23.2,2445,8000,1,1,1, 16-Jun 2020 20:18:15.073239000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.151-10.42.0.1-50867-53-17,192.168.1.1,192.168.23.2,2446,8000,1,1,1, 16-Jun 2020 20:18:15.073245000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
203.205.191.23-10.42.0.42-80-60616-6,192.168.1.1,192.168.23.2,2447,8000,1,1,1, 16-Jun 2020 20:18:15.073248000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
175.100.207.231-10.42.0.211-443-59336-6,192.168.1.1,192.168.23.2,2448,8000,1,1,1, 16-Jun 2020 20:18:15.073278000 Mountain Daylight Time,6,3,162,3,162,Flooding attack
10.42.0.211-111.1.17.152-34919-8077-6,192.168.1.1,192.168.23.2,2449,8000,1,1,1, 16-Jun 2020 20:18:15.073383000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
182.22.24.124-10.42.0.211-443-45676-6,192.168.1.1,192.168.23.2,2450,8000,1,1,1, 16-Jun 2020 20:18:15.073400000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
151.101.1.140-10.42.0.211-443-43649-6,192.168.1.1,192.168.23.2,2451,8000,1,1,1, 16-Jun 2020 20:18:15.073406000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-103.235.46.211-59228-443-6,192.168.1.1,192.168.23.2,2452,8000,1,1,1, 16-Jun 2020 20:18:15.073412000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.151-10.42.0.1-16479-53-17,192.168.1.1,192.168.23.2,2453,8000,1,1,1, 16-Jun 2020 20:18:15.073419000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
180.163.255.159-10.42.0.211-80-38935-6,192.168.1.1,192.168.23.2,2454,8000,1,1,1, 16-Jun 2020 20:18:15.073450000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
151.101.1.140-10.42.0.151-443-52519-6,192.168.1.1,192.168.23.2,2455,8000,1,1,1, 16-Jun 2020 20:18:15.073466000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.1-10.42.0.42-53-16600-17,192.168.1.1,192.168.23.2,2456,8000,1,1,1, 16-Jun 2020 20:18:15.073545000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
220.194.79.12-10.42.0.151-80-46389-6,192.168.1.1,192.168.23.2,2457,8000,1,1,1, 16-Jun 2020 20:18:15.073557000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
172.217.12.206-10.42.0.211-443-54341-6,192.168.1.1,192.168.23.2,2458,8000,1,1,1, 16-Jun 2020 20:18:15.073566000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.7.195-10.42.0.211-443-47731-6,192.168.1.1,192.168.23.2,2459,8000,1,1,1, 16-Jun 2020 20:18:15.073599000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.42-106.39.162.36-49602-80-6,192.168.1.1,192.168.23.2,2460,8000,1,1,1, 16-Jun 2020 20:18:15.073616000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.151-10.42.0.1-64636-53-17,192.168.1.1,192.168.23.2,2461,8000,1,1,1, 16-Jun 2020 20:18:15.073698000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-123.59.190.237-40751-80-6,192.168.1.1,192.168.23.2,2462,8000,1,1,1, 16-Jun 2020 20:18:15.073709000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.211-31.13.80.52-51850-443-6,192.168.1.1,192.168.23.2,2463,8000,1,1,1, 16-Jun 2020 20:18:15.073754000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
174.35.73.148-10.42.0.211-80-49357-6,192.168.1.1,192.168.23.2,2464,8000,1,1,1, 16-Jun 2020 20:18:15.073769000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-66.231.239.95-46116-443-6,192.168.1.1,192.168.23.2,2465,8000,1,1,1, 16-Jun 2020 20:18:15.073774000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-119.146.74.34-35053-80-6,192.168.1.1,192.168.23.2,2466,8000,1,1,1, 16-Jun 2020 20:18:15.073812000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
172.217.1.174-10.42.0.42-443-52963-6,192.168.1.1,192.168.23.2,2467,8000,1,1,1, 16-Jun 2020 20:18:15.073939000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
172.217.10.238-10.42.0.151-443-57057-6,192.168.1.1,192.168.23.2,2468,8000,1,1,1, 16-Jun 2020 20:18:15.073960000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
175.100.207.231-10.42.0.151-443-45817-6,192.168.1.1,192.168.23.2,2469,8000,1,1,1, 16-Jun 2020 20:18:15.073965000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
172.217.10.42-10.42.0.211-443-55697-6,192.168.1.1,192.168.23.2,2470,8000,1,1,1, 16-Jun 2020 20:18:15.073969000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-106.39.162.36-43643-80-6,192.168.1.1,192.168.23.2,2471,8000,1,1,1, 16-Jun 2020 20:18:15.073995000 Mountain Daylight Time,12,6,324,6,324,Flooding attack
10.42.0.211-10.42.0.1-21786-53-17,192.168.1.1,192.168.23.2,2472,8000,1,1,1, 16-Jun 2020 20:18:15.074049000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
175.100.207.206-10.42.0.211-80-35569-6,192.168.1.1,192.168.23.2,2473,8000,1,1,1, 16-Jun 2020 20:18:15.074081000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
172.217.12.170-10.42.0.151-443-57331-6,192.168.1.1,192.168.23.2,2474,8000,1,1,1, 16-Jun 2020 20:18:15.074125000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-1386-53-17,192.168.1.1,192.168.23.2,2475,8000,1,1,1, 16-Jun 2020 20:18:15.074171000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.211-14.29.93.243-53154-80-6,192.168.1.1,192.168.23.2,2476,8000,1,1,1, 16-Jun 2020 20:18:15.07416-Jun 202000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
192.229.163.180-10.42.0.211-443-51129-6,192.168.1.1,192.168.23.2,2477,8000,1,1,1, 16-Jun 2020 20:18:15.074225000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-1520-53-17,192.168.1.1,192.168.23.2,2478,8000,1,1,1, 16-Jun 2020 20:18:15.074281000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.211-104.192.110.245-38709-443-6,192.168.1.1,192.168.23.2,2479,8000,1,1,1, 16-Jun 2020 20:18:15.074290000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-33793-53-17,192.168.1.1,192.168.23.2,2480,8000,1,1,1, 16-Jun 2020 20:18:15.074306000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.12.170-10.42.0.211-443-38508-6,192.168.1.1,192.168.23.2,2481,8000,1,1,1, 16-Jun 2020 20:18:15.074367000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
172.217.12.170-10.42.0.211-443-47464-6,192.168.1.1,192.168.23.2,2482,8000,1,1,1, 16-Jun 2020 20:18:15.074402000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-54.192.37.39-50896-443-6,192.168.1.1,192.168.23.2,2483,8000,1,1,1, 16-Jun 2020 20:18:15.074447000 Mountain Daylight Time,16,8,432,8,432,DDoS-PSH-ACK
175.100.207.231-10.42.0.211-80-55913-6,192.168.1.1,192.168.23.2,2484,8000,1,1,1, 16-Jun 2020 20:18:15.074486000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.151-10.42.0.1-62491-53-17,192.168.1.1,192.168.23.2,2485,8000,1,1,1, 16-Jun 2020 20:18:15.074511000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.151-111.221.77.173-43477-40010-17,192.168.1.1,192.168.23.2,2486,8000,1,1,1, 16-Jun 2020 20:18:15.074547000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
203.205.191.23-10.42.0.211-80-39636-6,192.168.1.1,192.168.23.2,2487,8000,1,1,1, 16-Jun 2020 20:18:15.074591000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
206.126.112.142-10.42.0.151-443-41347-6,192.168.1.1,192.168.23.2,2488,8000,1,1,1, 16-Jun 2020 20:18:15.074615000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
183.79.87.214-10.42.0.211-80-47894-6,192.168.1.1,192.168.23.2,2489,8000,1,1,1, 16-Jun 2020 20:18:15.074686000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
172.217.9.237-10.42.0.151-443-50294-6,192.168.1.1,192.168.23.2,2490,8000,1,1,1, 16-Jun 2020 20:18:15.074694000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-31.13.80.12-48251-443-6,192.168.1.1,192.168.23.2,2491,8000,1,1,1, 16-Jun 2020 20:18:15.074721000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
157.240.18.10-10.42.0.151-443-45229-6,192.168.1.1,192.168.23.2,2492,8000,1,1,1, 16-Jun 2020 20:18:15.074855000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.1-10.42.0.42-53-22261-17,192.168.1.1,192.168.23.2,2493,8000,1,1,1, 16-Jun 2020 20:18:15.074862000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
192.229.173.173-10.42.0.211-443-46006-6,192.168.1.1,192.168.23.2,2494,8000,1,1,1, 16-Jun 2020 20:18:15.074867000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.42-119.146.74.34-33080-80-6,192.168.1.1,192.168.23.2,2495,8000,1,1,1, 16-Jun 2020 20:18:15.074876000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
198.11.132.221-10.42.0.211-443-58028-6,192.168.1.1,192.168.23.2,2496,8000,1,1,1, 16-Jun 2020 20:18:15.075240000 Mountain Daylight Time,12,6,324,6,324,Flooding attack
180.76.147.97-10.42.0.211-80-33252-6,192.168.1.1,192.168.23.2,2497,8000,1,1,1, 16-Jun 2020 20:18:15.075270000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
192.229.173.173-10.42.0.211-80-42632-6,192.168.1.1,192.168.23.2,2498,8000,1,1,1, 16-Jun 2020 20:18:15.075301000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.151-10.42.0.1-23075-53-17,192.168.1.1,192.168.23.2,2499,8000,1,1,1, 16-Jun 2020 20:18:15.075350000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-55597-53-17,192.168.1.1,192.168.23.2,2500,8000,1,1,1, 16-Jun 2020 20:18:15.075369000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
157.55.130.155-10.42.0.42-40008-46360-17,192.168.1.1,192.168.23.2,2501,8000,1,1,1, 16-Jun 2020 20:18:15.075374000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
172.217.10.74-10.42.0.42-443-44597-6,192.168.1.1,192.168.23.2,2502,8000,1,1,1, 16-Jun 2020 20:18:15.075408000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.10.34-10.42.0.211-443-35717-6,192.168.1.1,192.168.23.2,2503,8000,1,1,1, 16-Jun 2020 20:18:15.075435000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
172.217.10.46-10.42.0.151-80-40835-6,192.168.1.1,192.168.23.2,2504,8000,1,1,1, 16-Jun 2020 20:18:15.075448000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.151-10.42.0.1-50568-53-17,192.168.1.1,192.168.23.2,2505,8000,1,1,1, 16-Jun 2020 20:18:15.075493000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-47.89.67.224-34715-80-6,192.168.1.1,192.168.23.2,2506,8000,1,1,1, 16-Jun 2020 20:18:15.075502000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-27847-53-17,192.168.1.1,192.168.23.2,2507,8000,1,1,1, 16-Jun 2020 20:18:15.075527000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
182.22.120.247-10.42.0.42-443-57662-6,192.168.1.1,192.168.23.2,2508,8000,1,1,1, 16-Jun 2020 20:18:15.075584000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
10.42.0.211-14.204.144.144-38591-80-6,192.168.1.1,192.168.23.2,2509,8000,1,1,1, 16-Jun 2020 20:18:15.075637000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-23.208.168.108-49627-443-6,192.168.1.1,192.168.23.2,2510,8000,1,1,1, 16-Jun 2020 20:18:15.075792000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
180.76.147.97-10.42.0.211-80-54508-6,192.168.1.1,192.168.23.2,2511,8000,1,1,1, 16-Jun 2020 20:18:15.075834000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.151-13.32.251.254-35865-443-6,192.168.1.1,192.168.23.2,2512,8000,1,1,1, 16-Jun 2020 20:18:15.075861000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-33680-53-17,192.168.1.1,192.168.23.2,2513,8000,1,1,1, 16-Jun 2020 20:18:15.075916000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.12.133-10.42.0.42-443-53440-6,192.168.1.1,192.168.23.2,2514,8000,1,1,1, 16-Jun 2020 20:18:15.075928000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-77.234.44.79-38642-443-6,192.168.1.1,192.168.23.2,2515,8000,1,1,1, 16-Jun 2020 20:18:15.075987000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.151-104.254.66.16-40573-80-6,192.168.1.1,192.168.23.2,2516,8000,1,1,1, 16-Jun 2020 20:18:15.075995000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
172.217.6.202-10.42.0.42-443-53633-6,192.168.1.1,192.168.23.2,2517,8000,1,1,1, 16-Jun 2020 20:18:15.076039000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-72.21.206.141-59717-443-6,192.168.1.1,192.168.23.2,2518,8000,1,1,1, 16-Jun 2020 20:18:15.076044000 Mountain Daylight Time,14,7,378,7,378,DDoS-PSH-ACK
10.42.0.42-119.146.74.34-37722-80-6,192.168.1.1,192.168.23.2,2519,8000,1,1,1, 16-Jun 2020 20:18:15.076098000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
192.229.173.173-10.42.0.211-80-39995-6,192.168.1.1,192.168.23.2,2520,8000,1,1,1, 16-Jun 2020 20:18:15.076124000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.1-10.42.0.42-53-62311-17,192.168.1.1,192.168.23.2,2521,8000,1,1,1, 16-Jun 2020 20:18:15.076144000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
8.0.6.4-8.6.0.1-0-0-0,192.168.1.1,192.168.23.2,2522,8000,1,1,1, 16-Jun 2020 20:18:15.076191000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-123.125.115.164-54410-443-6,192.168.1.1,192.168.23.2,2523,8000,1,1,1, 16-Jun 2020 20:18:15.076215000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.211-104.88.89.135-34552-443-6,192.168.1.1,192.168.23.2,2524,8000,1,1,1, 16-Jun 2020 20:18:15.076246000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
203.205.147.229-10.42.0.42-80-54472-6,192.168.1.1,192.168.23.2,2525,8000,1,1,1, 16-Jun 2020 20:18:15.076263000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
172.217.10.74-10.42.0.151-443-57211-6,192.168.1.1,192.168.23.2,2526,8000,1,1,1, 16-Jun 2020 20:18:15.076276000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
8.0.6.4-8.6.0.1-0-0-0,192.168.1.1,192.168.23.2,2527,8000,1,1,1, 16-Jun 2020 20:18:15.076317000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.211-31.13.71.7-49081-443-6,192.168.1.1,192.168.23.2,2528,8000,1,1,1, 16-Jun 2020 20:18:15.076325000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
1.31.173.114-10.42.0.151-80-41267-6,192.168.1.1,192.168.23.2,2529,8000,1,1,1, 16-Jun 2020 20:18:15.076354000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.151-66.102.255.61-46394-443-6,192.168.1.1,192.168.23.2,2530,8000,1,1,1, 16-Jun 2020 20:18:15.076388000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.151-104.244.43.131-57198-443-6,192.168.1.1,192.168.23.2,2531,8000,1,1,1, 16-Jun 2020 20:18:15.076410000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
5.61.39.3-10.42.0.42-80-38286-6,192.168.1.1,192.168.23.2,2532,8000,1,1,1, 16-Jun 2020 20:18:15.076421000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.1-10.42.0.42-53-7085-17,192.168.1.1,192.168.23.2,2533,8000,1,1,1, 16-Jun 2020 20:18:15.076469000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.151-23.208.168.108-34119-443-6,192.168.1.1,192.168.23.2,2534,8000,1,1,1, 16-Jun 2020 20:18:15.076499000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
172.217.9.238-10.42.0.151-443-36149-6,192.168.1.1,192.168.23.2,2535,8000,1,1,1, 16-Jun 2020 20:18:15.076541000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-121.12.98.63-46626-80-6,192.168.1.1,192.168.23.2,2536,8000,1,1,1, 16-Jun 2020 20:18:15.076580000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
172.217.10.225-10.42.0.211-443-59051-6,192.168.1.1,192.168.23.2,2537,8000,1,1,1, 16-Jun 2020 20:18:15.076592000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
172.217.10.106-10.42.0.151-443-49931-6,192.168.1.1,192.168.23.2,2538,8000,1,1,1, 16-Jun 2020 20:18:15.076606000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
180.149.136.194-10.42.0.211-443-60201-6,192.168.1.1,192.168.23.2,2539,8000,1,1,1, 16-Jun 2020 20:18:15.076634000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
182.22.24.124-10.42.0.211-443-33029-6,192.168.1.1,192.168.23.2,2540,8000,1,1,1, 16-Jun 2020 20:18:15.076642000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.6.206-10.42.0.151-443-45028-6,192.168.1.1,192.168.23.2,2541,8000,1,1,1, 16-Jun 2020 20:18:15.077025000 Mountain Daylight Time,8,4,216,4,216,Flooding attack
173.222.142.156-10.42.0.211-443-55024-6,192.168.1.1,192.168.23.2,2542,8000,1,1,1, 16-Jun 2020 20:18:15.077052000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
